id;sucursal;telefono
1;auxiliary;South Carolina end-to-end
2;24/7 Savings Account communities;Sleek Concrete Chair Handmade Steel Computer pixel
3;California Granite;web services
4;Hollow Mauritania;e-commerce
5;black Avon synthesizing;auxiliary platforms parsing
6;communities;Wooden Cambridgeshire
7;Bedfordshire Manat Buckinghamshire;Moroccan Dirham alarm Dynamic
8;Ball Table;Fantastic back-end indigo
9;Checking Account Strategist gold;digital SMTP
10;Chicken United States of America applications;AI firmware e-services
